monthyear,campfilename,nationality,proportion
22018,Alexandria-Ref_GRE_003,Syrian,0.44
22018,Alexandria-Ref_GRE_003,Iraqi,0.25
22018,Alexandria-Ref_GRE_003,Pakistani,0.08
22018,Alexandria-Ref_GRE_003,Palestinian,0.04
22018,Diavata_GRE_008,Syrian,0.38
22018,Diavata_GRE_008,Iraqi,0.24
22018,Diavata_GRE_008,Iranian,0.05
22018,Diavata_GRE_008,Afghan,0.26
22018,XXDoliana_GRE_007,Syrian,0.7
22018,XXDoliana_GRE_007,Yemeni,0.06
22018,XXDoliana_GRE_007,Iranian,0.06
22018,XXDoliana_GRE_007,Stateless,0.07
22018,Eleonas_GRE_013 ,Syrian,0.29
22018,Eleonas_GRE_013 ,Yemeni,0
22018,Eleonas_GRE_013 ,Iraqi,0.06
22018,Eleonas_GRE_013 ,Congolese,0
22018,Eleonas_GRE_013 ,Eritrean,0
22018,Eleonas_GRE_013 ,Iranian,0.09
22018,Eleonas_GRE_013 ,Pakistani,0.05
22018,Eleonas_GRE_013 ,Palestinian,0
22018,Eleonas_GRE_013 ,Afghan,0.51
22018,Eleonas_GRE_013 ,Stateless,0
22018,Eleonas_GRE_013 ,Somali,0
22018,Eleonas_GRE_013 ,Kuwaiti,0
22018,Eleonas_GRE_013 ,Moroccan,0
22018,Eleonas_GRE_013 ,Egyptian,0
22018,Eleonas_GRE_013 ,Algerian,0
22018,XXFilipiada_GRE_019,Syrian,0.09
22018,XXFilipiada_GRE_019,Iraqi,0.4
22018,XXFilipiada_GRE_019,Iranian,0.07
22018,XXFilipiada_GRE_019,Afghan,0.42
22018,Kato-Milia_GRE_061,Syrian,0.64
22018,Kato-Milia_GRE_061,Iraqi,0.13
22018,Kato-Milia_GRE_061,Palestinian,0.06
22018,Kato-Milia_GRE_061,Afghan,0.12
22018,XXKonitsa_GRE_026,Syrian,1
22018,XXKonitsa_GRE_026,Yemeni,0
22018,XXKonitsa_GRE_026,Iraqi,0
22018,XXKonitsa_GRE_026,Congolese,0
22018,XXKonitsa_GRE_026,Eritrean,0
22018,XXKonitsa_GRE_026,Iranian,0
22018,XXKonitsa_GRE_026,Pakistani,0
22018,XXKonitsa_GRE_026,Palestinian,0
22018,XXKonitsa_GRE_026,Afghan,0
22018,XXKonitsa_GRE_026,Stateless,0
22018,XXKonitsa_GRE_026,Somali,0
22018,XXKonitsa_GRE_026,Kuwaiti,0
22018,XXKonitsa_GRE_026,Moroccan,0
22018,XXKonitsa_GRE_026,Egyptian,0
22018,XXKonitsa_GRE_026,Algerian,0
22018,Koutsochero_GRE_028 ,Syrian,0.55
22018,Koutsochero_GRE_028 ,Iraqi,0.2
22018,Koutsochero_GRE_028 ,Congolese,0.07
22018,Koutsochero_GRE_028 ,Palestinian,0.03
22018,Lagkadikia_GRE_029 ,Syrian,0.61
22018,Lagkadikia_GRE_029 ,Iraqi,0.29
22018,Lagkadikia_GRE_029 ,Iranian,0.02
22018,Lagkadikia_GRE_029 ,Pakistani,0.04
22018,Lavrio-New_GRE_030 ,Syrian,0.54
22018,Lavrio-New_GRE_030 ,Iraqi,0.09
22018,Lavrio-New_GRE_030 ,Iranian,0.06
22018,Lavrio-New_GRE_030 ,Afghan,0.12
22018,Leros-Lepida_GRE_032,Syrian,0.17
22018,Leros-Lepida_GRE_032,Iraqi,0.5
22018,Leros-Lepida_GRE_032,Afghan,0.12
22018,Leros-Lepida_GRE_032,Stateless,0.05
22018,Moria_GRE_001,Syrian,0.37
22018,Moria_GRE_001,Iraqi,0.14
22018,Moria_GRE_001,Congolese,0.05
22018,Moria_GRE_001,Afghan,0.18
22018,Nea-Kavala_GRE_034,Syrian,0.29
22018,Nea-Kavala_GRE_034,Iraqi,0.14
22018,Nea-Kavala_GRE_034,Congolese,0.09
22018,Nea-Kavala_GRE_034,Eritrean,0.1
22018,XXPikpa-Leros_GRE_038,Syrian,0.38
22018,XXPikpa-Leros_GRE_038,Yemeni,0
22018,XXPikpa-Leros_GRE_038,Iraqi,0.58
22018,XXPikpa-Leros_GRE_038,Congolese,0
22018,XXPikpa-Leros_GRE_038,Eritrean,0
22018,XXPikpa-Leros_GRE_038,Iranian,0
22018,XXPikpa-Leros_GRE_038,Pakistani,0.02
22018,XXPikpa-Leros_GRE_038,Palestinian,0
22018,XXPikpa-Leros_GRE_038,Afghan,0
22018,XXPikpa-Leros_GRE_038,Stateless,0
22018,XXPikpa-Leros_GRE_038,Somali,0.02
22018,XXPikpa-Leros_GRE_038,Kuwaiti,0
22018,XXPikpa-Leros_GRE_038,Moroccan,0
22018,XXPikpa-Leros_GRE_038,Egyptian,0
22018,XXPikpa-Leros_GRE_038,Algerian,0
22018,Skaramangas_GRE_014,Syrian,0.56
22018,Skaramangas_GRE_014,Yemeni,0
22018,Skaramangas_GRE_014,Iraqi,0.33
22018,Skaramangas_GRE_014,Congolese,0
22018,Skaramangas_GRE_014,Eritrean,0
22018,Skaramangas_GRE_014,Iranian,0.02
22018,Skaramangas_GRE_014,Pakistani,0
22018,Skaramangas_GRE_014,Palestinian,0
22018,Skaramangas_GRE_014,Afghan,0.09
22018,Skaramangas_GRE_014,Stateless,0
22018,Skaramangas_GRE_014,Somali,0
22018,Skaramangas_GRE_014,Kuwaiti,0
22018,Skaramangas_GRE_014,Moroccan,0
22018,Skaramangas_GRE_014,Egyptian,0
22018,Skaramangas_GRE_014,Algerian,0
22018,Vathi-Samos_GRE_053,Syrian,0.29
22018,Vathi-Samos_GRE_053,Iraqi,0.27
22018,Vathi-Samos_GRE_053,Congolese,0.06
22018,Vathi-Samos_GRE_053,Afghan,0.13
22018,XXVial-Chios-NRC_GRE_066,Syrian,0.35
22018,XXVial-Chios-NRC_GRE_066,Yemeni,0.04
22018,XXVial-Chios-NRC_GRE_066,Iraqi,0.29
22018,XXVial-Chios-NRC_GRE_066,Afghan,0.11
12017,Alexandria-Ref_GRE_003,Syrian,0.99
12017,Alexandria-Ref_GRE_003,Yemeni,0
12017,Alexandria-Ref_GRE_003,Iraqi,0.01
12017,Alexandria-Ref_GRE_003,Congolese,0
12017,Alexandria-Ref_GRE_003,Eritrean,0
12017,Alexandria-Ref_GRE_003,Iranian,0
12017,Alexandria-Ref_GRE_003,Pakistani,0
12017,Alexandria-Ref_GRE_003,Palestinian,0
12017,Alexandria-Ref_GRE_003,Afghan,0
12017,Alexandria-Ref_GRE_003,Stateless,0
12017,Alexandria-Ref_GRE_003,Somali,0
12017,Alexandria-Ref_GRE_003,Kuwaiti,0
12017,Alexandria-Ref_GRE_003,Moroccan,0
12017,Alexandria-Ref_GRE_003,Egyptian,0
12017,Alexandria-Ref_GRE_003,Algerian,0
12017,Andravida_GRE_004,Syrian,1
12017,Andravida_GRE_004,Yemeni,0
12017,Andravida_GRE_004,Iraqi,0
12017,Andravida_GRE_004,Congolese,0
12017,Andravida_GRE_004,Eritrean,0
12017,Andravida_GRE_004,Iranian,0
12017,Andravida_GRE_004,Pakistani,0
12017,Andravida_GRE_004,Palestinian,0
12017,Andravida_GRE_004,Afghan,0
12017,Andravida_GRE_004,Stateless,0
12017,Andravida_GRE_004,Somali,0
12017,Andravida_GRE_004,Kuwaiti,0
12017,Andravida_GRE_004,Moroccan,0
12017,Andravida_GRE_004,Egyptian,0
12017,Andravida_GRE_004,Algerian,0
12017,XXDerveni-Alexil_GRE_007,Syrian,1
12017,XXDerveni-Alexil_GRE_007,Yemeni,0
12017,XXDerveni-Alexil_GRE_007,Iraqi,0
12017,XXDerveni-Alexil_GRE_007,Congolese,0
12017,XXDerveni-Alexil_GRE_007,Eritrean,0
12017,XXDerveni-Alexil_GRE_007,Iranian,0
12017,XXDerveni-Alexil_GRE_007,Pakistani,0
12017,XXDerveni-Alexil_GRE_007,Palestinian,0
12017,XXDerveni-Alexil_GRE_007,Afghan,0
12017,XXDerveni-Alexil_GRE_007,Stateless,0
12017,XXDerveni-Alexil_GRE_007,Somali,0
12017,XXDerveni-Alexil_GRE_007,Kuwaiti,0
12017,XXDerveni-Alexil_GRE_007,Moroccan,0
12017,XXDerveni-Alexil_GRE_007,Egyptian,0
12017,XXDerveni-Alexil_GRE_007,Algerian,0
12017,Diavata_GRE_008,Syrian,0.74
12017,Diavata_GRE_008,Afghan,0.18
12017,XXDoliana_GRE_007,Syrian,0.86
12017,XXDoliana_GRE_007,Yemeni,0
12017,XXDoliana_GRE_007,Iraqi,0
12017,XXDoliana_GRE_007,Congolese,0
12017,XXDoliana_GRE_007,Eritrean,0
12017,XXDoliana_GRE_007,Iranian,0
12017,XXDoliana_GRE_007,Pakistani,0
12017,XXDoliana_GRE_007,Palestinian,0
12017,XXDoliana_GRE_007,Afghan,0.14
12017,XXDoliana_GRE_007,Stateless,0
12017,XXDoliana_GRE_007,Somali,0
12017,XXDoliana_GRE_007,Kuwaiti,0
12017,XXDoliana_GRE_007,Moroccan,0
12017,XXDoliana_GRE_007,Egyptian,0
12017,XXDoliana_GRE_007,Algerian,0
12017,Eleonas_GRE_013 ,Syrian,0.35
12017,Eleonas_GRE_013 ,Afghan,0.55
12017,XXElliniko-Hocky_GRE_016,Syrian,0
12017,XXElliniko-Hocky_GRE_016,Yemeni,0
12017,XXElliniko-Hocky_GRE_016,Iraqi,0
12017,XXElliniko-Hocky_GRE_016,Congolese,0
12017,XXElliniko-Hocky_GRE_016,Eritrean,0
12017,XXElliniko-Hocky_GRE_016,Iranian,0
12017,XXElliniko-Hocky_GRE_016,Pakistani,0.01
12017,XXElliniko-Hocky_GRE_016,Palestinian,0
12017,XXElliniko-Hocky_GRE_016,Afghan,0.98
12017,XXElliniko-Hocky_GRE_016,Stateless,0
12017,XXElliniko-Hocky_GRE_016,Somali,0
12017,XXElliniko-Hocky_GRE_016,Kuwaiti,0
12017,XXElliniko-Hocky_GRE_016,Moroccan,0
12017,XXElliniko-Hocky_GRE_016,Egyptian,0
12017,XXElliniko-Hocky_GRE_016,Algerian,0
12017,XXFilipiada_GRE_019,Syrian,0.67
12017,XXFilipiada_GRE_019,Yemeni,0
12017,XXFilipiada_GRE_019,Iraqi,0
12017,XXFilipiada_GRE_019,Congolese,0
12017,XXFilipiada_GRE_019,Eritrean,0
12017,XXFilipiada_GRE_019,Iranian,0
12017,XXFilipiada_GRE_019,Pakistani,0
12017,XXFilipiada_GRE_019,Palestinian,0
12017,XXFilipiada_GRE_019,Afghan,0.33
12017,XXFilipiada_GRE_019,Stateless,0
12017,XXFilipiada_GRE_019,Somali,0
12017,XXFilipiada_GRE_019,Kuwaiti,0
12017,XXFilipiada_GRE_019,Moroccan,0
12017,XXFilipiada_GRE_019,Egyptian,0
12017,XXFilipiada_GRE_019,Algerian,0
12017,XXIliadi_GRE_020,Syrian,0.95
12017,XXIliadi_GRE_020,Iraqi,0.01
12017,XXKonitsa_GRE_026,Syrian,1
12017,XXKonitsa_GRE_026,Yemeni,0
12017,XXKonitsa_GRE_026,Iraqi,0
12017,XXKonitsa_GRE_026,Congolese,0
12017,XXKonitsa_GRE_026,Eritrean,0
12017,XXKonitsa_GRE_026,Iranian,0
12017,XXKonitsa_GRE_026,Pakistani,0
12017,XXKonitsa_GRE_026,Palestinian,0
12017,XXKonitsa_GRE_026,Afghan,0
12017,XXKonitsa_GRE_026,Stateless,0
12017,XXKonitsa_GRE_026,Somali,0
12017,XXKonitsa_GRE_026,Kuwaiti,0
12017,XXKonitsa_GRE_026,Moroccan,0
12017,XXKonitsa_GRE_026,Egyptian,0
12017,XXKonitsa_GRE_026,Algerian,0
12017,Lagkadikia_GRE_029 ,Syrian,0.93
12017,Lagkadikia_GRE_029 ,Yemeni,0
12017,Lagkadikia_GRE_029 ,Iraqi,0.07
12017,Lagkadikia_GRE_029 ,Congolese,0
12017,Lagkadikia_GRE_029 ,Eritrean,0
12017,Lagkadikia_GRE_029 ,Iranian,0
12017,Lagkadikia_GRE_029 ,Pakistani,0
12017,Lagkadikia_GRE_029 ,Palestinian,0
12017,Lagkadikia_GRE_029 ,Afghan,0
12017,Lagkadikia_GRE_029 ,Stateless,0
12017,Lagkadikia_GRE_029 ,Somali,0
12017,Lagkadikia_GRE_029 ,Kuwaiti,0
12017,Lagkadikia_GRE_029 ,Moroccan,0
12017,Lagkadikia_GRE_029 ,Egyptian,0
12017,Lagkadikia_GRE_029 ,Algerian,0
12017,Lavrio-New_GRE_030 ,Syrian,0.96
12017,Lavrio-New_GRE_030 ,Yemeni,0
12017,Lavrio-New_GRE_030 ,Iraqi,0
12017,Lavrio-New_GRE_030 ,Congolese,0
12017,Lavrio-New_GRE_030 ,Eritrean,0
12017,Lavrio-New_GRE_030 ,Iranian,0
12017,Lavrio-New_GRE_030 ,Pakistani,0.01
12017,Lavrio-New_GRE_030 ,Palestinian,0
12017,Lavrio-New_GRE_030 ,Afghan,0.03
12017,Lavrio-New_GRE_030 ,Stateless,0
12017,Lavrio-New_GRE_030 ,Somali,0
12017,Lavrio-New_GRE_030 ,Kuwaiti,0
12017,Lavrio-New_GRE_030 ,Moroccan,0
12017,Lavrio-New_GRE_030 ,Egyptian,0
12017,Lavrio-New_GRE_030 ,Algerian,0
12017,Leros-Lepida_GRE_032,Syrian,0.36
12017,Leros-Lepida_GRE_032,Iraqi,0.28
12017,XXMalakasa-MC_GRE_012,Afghan,0.98
12017,Moria_GRE_001,Syrian,0.11
12017,Moria_GRE_001,Afghan,0.24
12017,Nea-Kavala_GRE_034,Syrian,0.98
12017,Nea-Kavala_GRE_034,Yemeni,0
12017,Nea-Kavala_GRE_034,Iraqi,0.02
12017,Nea-Kavala_GRE_034,Congolese,0
12017,Nea-Kavala_GRE_034,Eritrean,0
12017,Nea-Kavala_GRE_034,Iranian,0
12017,Nea-Kavala_GRE_034,Pakistani,0
12017,Nea-Kavala_GRE_034,Palestinian,0
12017,Nea-Kavala_GRE_034,Afghan,0
12017,Nea-Kavala_GRE_034,Stateless,0
12017,Nea-Kavala_GRE_034,Somali,0
12017,Nea-Kavala_GRE_034,Kuwaiti,0
12017,Nea-Kavala_GRE_034,Moroccan,0
12017,Nea-Kavala_GRE_034,Egyptian,0
12017,Nea-Kavala_GRE_034,Algerian,0
12017,XXOlympic-Stadium_GRE_035,Syrian,0
12017,XXOlympic-Stadium_GRE_035,Yemeni,0
12017,XXOlympic-Stadium_GRE_035,Iraqi,0
12017,XXOlympic-Stadium_GRE_035,Congolese,0
12017,XXOlympic-Stadium_GRE_035,Eritrean,0
12017,XXOlympic-Stadium_GRE_035,Iranian,0
12017,XXOlympic-Stadium_GRE_035,Pakistani,0
12017,XXOlympic-Stadium_GRE_035,Palestinian,0
12017,XXOlympic-Stadium_GRE_035,Afghan,0.99
12017,XXOlympic-Stadium_GRE_035,Stateless,0
12017,XXOlympic-Stadium_GRE_035,Somali,0
12017,XXOlympic-Stadium_GRE_035,Kuwaiti,0
12017,XXOlympic-Stadium_GRE_035,Moroccan,0
12017,XXOlympic-Stadium_GRE_035,Egyptian,0
12017,XXOlympic-Stadium_GRE_035,Algerian,0
12017,Rafina_GRE_039,Syrian,0.52
12017,Rafina_GRE_039,Yemeni,0
12017,Rafina_GRE_039,Iraqi,0
12017,Rafina_GRE_039,Congolese,0
12017,Rafina_GRE_039,Eritrean,0
12017,Rafina_GRE_039,Iranian,0
12017,Rafina_GRE_039,Pakistani,0
12017,Rafina_GRE_039,Palestinian,0
12017,Rafina_GRE_039,Afghan,0.48
12017,Rafina_GRE_039,Stateless,0
12017,Rafina_GRE_039,Somali,0
12017,Rafina_GRE_039,Kuwaiti,0
12017,Rafina_GRE_039,Moroccan,0
12017,Rafina_GRE_039,Egyptian,0
12017,Rafina_GRE_039,Algerian,0
12017,Ritsona_GRE_040,Syrian,0.85
12017,Ritsona_GRE_040,Yemeni,0
12017,Ritsona_GRE_040,Iraqi,0.05
12017,Ritsona_GRE_040,Congolese,0
12017,Ritsona_GRE_040,Eritrean,0
12017,Ritsona_GRE_040,Iranian,0
12017,Ritsona_GRE_040,Pakistani,0
12017,Ritsona_GRE_040,Palestinian,0
12017,Ritsona_GRE_040,Afghan,0.1
12017,Ritsona_GRE_040,Stateless,0
12017,Ritsona_GRE_040,Somali,0
12017,Ritsona_GRE_040,Kuwaiti,0
12017,Ritsona_GRE_040,Moroccan,0
12017,Ritsona_GRE_040,Egyptian,0
12017,Ritsona_GRE_040,Algerian,0
12017,XXSindos-Frakapore_GRE_043,Syrian,0.99
12017,XXSindos-Frakapore_GRE_043,Yemeni,0
12017,XXSindos-Frakapore_GRE_043,Iraqi,0.01
12017,XXSindos-Frakapore_GRE_043,Congolese,0
12017,XXSindos-Frakapore_GRE_043,Eritrean,0
12017,XXSindos-Frakapore_GRE_043,Iranian,0
12017,XXSindos-Frakapore_GRE_043,Pakistani,0
12017,XXSindos-Frakapore_GRE_043,Palestinian,0
12017,XXSindos-Frakapore_GRE_043,Afghan,0
12017,XXSindos-Frakapore_GRE_043,Stateless,0
12017,XXSindos-Frakapore_GRE_043,Somali,0
12017,XXSindos-Frakapore_GRE_043,Kuwaiti,0
12017,XXSindos-Frakapore_GRE_043,Moroccan,0
12017,XXSindos-Frakapore_GRE_043,Egyptian,0
12017,XXSindos-Frakapore_GRE_043,Algerian,0
12017,Skaramangas_GRE_014,Syrian,0.65
12017,Skaramangas_GRE_014,Yemeni,0
12017,Skaramangas_GRE_014,Iraqi,0.25
12017,Skaramangas_GRE_014,Congolese,0
12017,Skaramangas_GRE_014,Eritrean,0
12017,Skaramangas_GRE_014,Iranian,0
12017,Skaramangas_GRE_014,Pakistani,0
12017,Skaramangas_GRE_014,Palestinian,0
12017,Skaramangas_GRE_014,Afghan,0.1
12017,Skaramangas_GRE_014,Stateless,0
12017,Skaramangas_GRE_014,Somali,0
12017,Skaramangas_GRE_014,Kuwaiti,0
12017,Skaramangas_GRE_014,Moroccan,0
12017,Skaramangas_GRE_014,Egyptian,0
12017,Skaramangas_GRE_014,Algerian,0
12017,Vathi-Samos_GRE_053,Syrian,0.33
12017,Vathi-Samos_GRE_053,Afghan,0.16
12017,XXSoftex_GRE_045,Syrian,0.9
12017,XXSoftex_GRE_045,Iraqi,0.08
12017,XXSouda-Samns-Purse_GRE_046,Syrian,0.46
12017,XXSouda-Samns-Purse_GRE_046,Iraqi,0.12
12017,XXTrikala_GRE_048,Syrian,0.95
12017,XXTrikala_GRE_048,Iraqi,0.03
12017,Veria_GRE_054,Syrian,0.96
12017,Veria_GRE_054,Yemeni,0
12017,Veria_GRE_054,Iraqi,0.04
12017,Veria_GRE_054,Congolese,0
12017,Veria_GRE_054,Eritrean,0
12017,Veria_GRE_054,Iranian,0
12017,Veria_GRE_054,Pakistani,0
12017,Veria_GRE_054,Palestinian,0
12017,Veria_GRE_054,Afghan,0
12017,Veria_GRE_054,Stateless,0
12017,Veria_GRE_054,Somali,0
12017,Veria_GRE_054,Kuwaiti,0
12017,Veria_GRE_054,Moroccan,0
12017,Veria_GRE_054,Egyptian,0
12017,Veria_GRE_054,Algerian,0
12017,XXVial-Chios-NRC_GRE_066,Syrian,0.37
12017,XXVial-Chios-NRC_GRE_066,Afghan,0.41
12017,Kos_GRE_027,Syrian,0.02
12017,Kos_GRE_027,Pakistani,0.94
62017,Kos_GRE_027,Syrian,0.08
62017,Kos_GRE_027,Iraqi,0.16
62017,Kos_GRE_027,Pakistani,0.6
62017,Kos_GRE_027,Afghan,0.08
62017,Alexandria-Ref_GRE_003,Syrian,0.81
62017,Alexandria-Ref_GRE_003,Iraqi,0.14
62017,Andravida_GRE_004,Syrian,0.99
62017,Andravida_GRE_004,Yemeni,0
62017,Andravida_GRE_004,Iraqi,0.01
62017,Andravida_GRE_004,Congolese,0
62017,Andravida_GRE_004,Eritrean,0
62017,Andravida_GRE_004,Iranian,0
62017,Andravida_GRE_004,Pakistani,0
62017,Andravida_GRE_004,Palestinian,0
62017,Andravida_GRE_004,Afghan,0
62017,Andravida_GRE_004,Stateless,0
62017,Andravida_GRE_004,Somali,0
62017,Andravida_GRE_004,Kuwaiti,0
62017,Andravida_GRE_004,Moroccan,0
62017,Andravida_GRE_004,Egyptian,0
62017,Andravida_GRE_004,Algerian,0
62017,XXDerveni-Alexil_GRE_007,Syrian,0.85
62017,XXDerveni-Alexil_GRE_007,Yemeni,0
62017,XXDerveni-Alexil_GRE_007,Iraqi,0.15
62017,XXDerveni-Alexil_GRE_007,Congolese,0
62017,XXDerveni-Alexil_GRE_007,Eritrean,0
62017,XXDerveni-Alexil_GRE_007,Iranian,0
62017,XXDerveni-Alexil_GRE_007,Pakistani,0
62017,XXDerveni-Alexil_GRE_007,Palestinian,0
62017,XXDerveni-Alexil_GRE_007,Afghan,0
62017,XXDerveni-Alexil_GRE_007,Stateless,0
62017,XXDerveni-Alexil_GRE_007,Somali,0
62017,XXDerveni-Alexil_GRE_007,Kuwaiti,0
62017,XXDerveni-Alexil_GRE_007,Moroccan,0
62017,XXDerveni-Alexil_GRE_007,Egyptian,0
62017,XXDerveni-Alexil_GRE_007,Algerian,0
62017,Diavata_GRE_008,Syrian,0.46
62017,Diavata_GRE_008,Pakistani,0.09
62017,Diavata_GRE_008,Palestinian,0.01
62017,Diavata_GRE_008,Afghan,0.39
62017,XXDoliana_GRE_007,Syrian,1
62017,XXDoliana_GRE_007,Yemeni,0
62017,XXDoliana_GRE_007,Iraqi,0
62017,XXDoliana_GRE_007,Congolese,0
62017,XXDoliana_GRE_007,Eritrean,0
62017,XXDoliana_GRE_007,Iranian,0
62017,XXDoliana_GRE_007,Pakistani,0
62017,XXDoliana_GRE_007,Palestinian,0
62017,XXDoliana_GRE_007,Afghan,0
62017,XXDoliana_GRE_007,Stateless,0
62017,XXDoliana_GRE_007,Somali,0
62017,XXDoliana_GRE_007,Kuwaiti,0
62017,XXDoliana_GRE_007,Moroccan,0
62017,XXDoliana_GRE_007,Egyptian,0
62017,XXDoliana_GRE_007,Algerian,0
62017,XXFilipiada_GRE_019,Syrian,0.43
62017,XXFilipiada_GRE_019,Iraqi,0.13
62017,XXFilipiada_GRE_019,Iranian,0.14
62017,XXFilipiada_GRE_019,Afghan,0.28
62017,XXKonitsa_GRE_026,Syrian,0.96
62017,XXKonitsa_GRE_026,Yemeni,0
62017,XXKonitsa_GRE_026,Iraqi,0.04
62017,XXKonitsa_GRE_026,Congolese,0
62017,XXKonitsa_GRE_026,Eritrean,0
62017,XXKonitsa_GRE_026,Iranian,0
62017,XXKonitsa_GRE_026,Pakistani,0
62017,XXKonitsa_GRE_026,Palestinian,0
62017,XXKonitsa_GRE_026,Afghan,0
62017,XXKonitsa_GRE_026,Stateless,0
62017,XXKonitsa_GRE_026,Somali,0
62017,XXKonitsa_GRE_026,Kuwaiti,0
62017,XXKonitsa_GRE_026,Moroccan,0
62017,XXKonitsa_GRE_026,Egyptian,0
62017,XXKonitsa_GRE_026,Algerian,0
62017,Koutsochero_GRE_028 ,Syrian,0.75
62017,Koutsochero_GRE_028 ,Iraqi,0.15
62017,Koutsochero_GRE_028 ,Congolese,0.01
62017,Koutsochero_GRE_028 ,Palestinian,0.02
62017,Lavrio-New_GRE_030 ,Syrian,0.94
62017,Lavrio-New_GRE_030 ,Yemeni,0
62017,Lavrio-New_GRE_030 ,Iraqi,0
62017,Lavrio-New_GRE_030 ,Congolese,0
62017,Lavrio-New_GRE_030 ,Eritrean,0
62017,Lavrio-New_GRE_030 ,Iranian,0.02
62017,Lavrio-New_GRE_030 ,Pakistani,0.01
62017,Lavrio-New_GRE_030 ,Palestinian,0
62017,Lavrio-New_GRE_030 ,Afghan,0.03
62017,Lavrio-New_GRE_030 ,Stateless,0
62017,Lavrio-New_GRE_030 ,Somali,0
62017,Lavrio-New_GRE_030 ,Kuwaiti,0
62017,Lavrio-New_GRE_030 ,Moroccan,0
62017,Lavrio-New_GRE_030 ,Egyptian,0
62017,Lavrio-New_GRE_030 ,Algerian,0
62017,Nea-Kavala_GRE_034,Syrian,0.34
62017,Nea-Kavala_GRE_034,Iraqi,0.13
62017,Nea-Kavala_GRE_034,Congolese,0.08
62017,Nea-Kavala_GRE_034,Eritrean,0.12
62017,Volos_GRE_055,Syrian,0.8
62017,Volos_GRE_055,Yemeni,0
62017,Volos_GRE_055,Iraqi,0.1
62017,Volos_GRE_055,Congolese,0
62017,Volos_GRE_055,Eritrean,0
62017,Volos_GRE_055,Iranian,0
62017,Volos_GRE_055,Pakistani,0
62017,Volos_GRE_055,Palestinian,0.1
62017,Volos_GRE_055,Afghan,0
62017,Volos_GRE_055,Stateless,0
62017,Volos_GRE_055,Somali,0
62017,Volos_GRE_055,Kuwaiti,0
